date,time,total_games
19/06/2020,17:25,1860
19/06/2020,18:17,1960
19/06/2020,18:53,2060
20/06/2020,16:34,2160
20/06/2020,17:25,2260
20/06/2020,16:54,2360
20/06/2020,17:54,2440
20/06/2020,18:44,2520
20/06/2020,20:35,2600
21/06/2020,14:10,2601
21/06/2020,14:53,2701
21/06/2020,15:35,2801
21/06/2020,16:19,2901
21/06/2020,15:15,3001
21/06/2020,15:49,3101
21/06/2020,16:24,3201
21/06/2020,16:59,3301
21/06/2020,17:35,3401
21/06/2020,18:10,3501
21/06/2020,18:44,3601
22/06/2020,10:30,3701
22/06/2020,10:52,3751
22/06/2020,11:08,3851
22/06/2020,11:11,3901
22/06/2020,11:29,3951
22/06/2020,11:46,4001
22/06/2020,11:47,4101
22/06/2020,12:04,4151
22/06/2020,12:22,4201
22/06/2020,12:25,4301
22/06/2020,12:40,4351
22/06/2020,12:58,4401
22/06/2020,13:03,4501
22/06/2020,13:15,4551
22/06/2020,13:33,4601
