scores,states
"[0.39492, 0.17756, 0.16707, 0.12938, 0.16892, 0.15608, 0.16583]",000100000000000000000000000000000000000000
"[0.41235, 0.17218, 0.16641, 0.15115, 0.16271, 0.14829, 0.15887]",200100000010000000000000000000000000000000
"[0.07347, 0.04099, 0.05793, 0.05937, 0.14196, 0.0613, 0.0581]",200100000010000002000000100000000000000000
"[0.07027, 0.06811, 0.06403, 0.13111, 0.06748, 0.0399, 0.07933]",201120000010000002000000100000000000000000
"[0.02235, 0.03395, 0, 0, 0, 0, 0.05434]",201120020010001002000000100000000000000000
"[0.02886, 0, 0, 0, 0, 0, 0]",201120020010001002000200100000010000000000
"[0.01726, 0.0119, 0, 0, 0, 0, 0]",201120020010001002000200100020010000001000
"[0, 0, 0, 0, 0.0119, 0, 0]",211120020010001002000200100020010002001000
"[0, 0.0119, 0, 0, 0, 0, 0]",211121020210001002000200100020010002001000
"[0, 0.0119, 0, 0, 0, 0, 0]",211121022210001102000200100020010002001000
"[0, 0, 0, 0, 0, 0.0119, 0]",211121022210001102000220100021010002001000
"[0, 0, 0.0119, 0, 0, 0, 0]",211121022210201102000220100021010002101000
"[0, 0, 0.0119, 0, 0, 0, 0]",211121022210201122000221100021010002101000
"[0, 0, 0, 0, 0.0119, 0, 0]",211121022210201122000221100021210002111000
"[0, 0, 0, 0, 0.0119, 0, 0]",211121022212201122100221100021210002111000
"[0, 0, 0, 0, -1, 0, 0]",211121022212201122110221120021210002111000
"[0.0119, 0, 0, 0, 0, 0, 0]",221120020110001002000200100020010000001000
"[0, 0.0119, 0, 0, 0, 0, 0]",221120020111001002000200100020010002001000
"[0, 0.0119, 0, 0, 0, 0, 0]",221120022111001002100200100020010002001000
"[0, 0.0119, 0, 0, 0, 0, 0]",221120022111001202100210100020010002001000
"[0, 0, 0, 0, 0.0119, 0, 0]",221120022111001202100210110022010002001000
"[0, 0, -1, 0, 0, 0, 0]",221120022111001202100210110022012002101000
"[0, 0.06782, 0.0119, 0, 0, 0, 0]",201120000012000002100000100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",201121020012000002100000100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",201121020012002002100100100000000000000000
"[-1, 0, 0, 0, 0, 0, 0]",201121020012102002100100100020000000000000
"[0, 0, 0, 0, 0, 0.06084, 0]",221120000112000002100000100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",221120020112001002100000100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",221120020112001002100200100010000000000000
"[0, 0, 0, 0.0119, 0, 0, 0]",221120021112001002100200100010000002000000
"[0, 0, 0, 0, 0, 0.0119, 0]",221121021112001002100200100010020002000000
"[0, 0, 0, 0, 0, 0, 0.0119]",221121021112201102100200100010020002000000
"[0, -1, 0, 0, 0, 0, 0]",221121221112201102100210100010020002000000
"[-1, -1, -1, 0.15727, -1, -1, -1]",200100200010000001000000000000000000000000
"[-1, -1, -1, 0.16627, -1, -1, -1]",220100000010000001000000000000000000000000
"[0.09211, 0.07262, 0.06275, 0.07282, 0.15857, 0.06363, 0.09202]",220100001010000001000000200000000000000000
